# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
0.191,-1.02,-1.02,-1.696797377,-40.58,-2.054291705,229.8252456,-1.01811514,0.5522697554
0.192,-0.93,-0.93,-1.542154886,-37.53,-1.938200368,223.5616238,-1.165946985,0.496804665
0.193,-0.93,-0.93,-1.542154886,-37.79,-1.948302005,219.4519802,-1.265209057,0.4798971767
0.194,-0.98,-0.98,-1.627949697,-39.66,-2.019823652,220.6435772,-1.236237804,0.4999751136
0.195,-1.03,-1.03,-1.714038718,-41.48,-2.087559837,222.7437617,-1.185554938,0.5236720481
0.196,-1.03,-1.03,-1.714038718,-41.51,-2.08866117,222.8925307,-1.181982901,0.5240676394
0.197,-0.95,-0.95,-1.576437505,-38.8,-1.987176787,225.3291115,-1.123815983,0.5067313303
0.198,-0.76,-0.76,-1.252653219,-32.44,-1.732430652,233.7202325,-0.9282052118,0.4708097174
0.199,-0.52,-0.52,-0.8497350368,-23.42,-1.32784712,242.7524366,-0.7253474857,0.4138599596
0.2,-0.33,-0.33,-0.5355655338,-15.7,-0.9371658512,248.259511,-0.6053337708,0.3472062658
0.201,-0.3,-0.3,-0.48634818,-13.91,-0.8402999449,249.425883,-0.5802572795,0.3423643706
0.202,-0.38,-0.38,-0.6178298248,-18,-1.05809012,247.2558258,-0.6270070592,0.3666434391
0.203,-0.49,-0.49,-0.7998468842,-23.04,-1.309610961,244.4294782,-0.688514394,0.400298651
0.204,-0.53,-0.53,-0.8663879578,-24.92,-1.398862235,244.7226413,-0.682101572,0.4163397533
0.205,-0.5,-0.5,-0.8164645,-23.72,-1.342173603,240.9259827,-0.7657527384,0.3873306594
0.206,-0.43,-0.43,-0.7003883258,-20.94,-1.207012975,232.4267693,-0.9578956124,0.3235186603
0.207,-0.36,-0.36,-0.5848888032,-17.78,-1.046693248,229.0255816,-1.036762624,0.2807301134
0.208,-0.28,-0.28,-0.4535954528,-14.53,-0.8741277059,233.4958547,-0.9333438245,0.2509557939
0.209,-0.21,-0.21,-0.3393316122,-11.1,-0.6832501861,237.8409933,-0.8347003597,0.2235458943
0.21,-0.14,-0.14,-0.2256444232,-7.75,-0.4878350763,243.7981731,-0.702350088,0.1895876625
0.211,-0.08,-0.08,-0.1286572288,-4.68,-0.3006871903,247.6281777,-0.6189563529,0.1398990182
0.212,-0.03,-0.03,-0.0481581978,-1.8,-0.1178911993,247.542576,-0.6208060938,0.06519341312
0.213,0.02,0.02,0.0320466232,0.54,0.0359229268,248.320627,-0.6040168815,-0.05641078018
0.214,0.09,0.09,0.1438390998,2.18,0.1466135339,247.1726558,-0.628806953,-0.298301665
0.215,0.14,0.14,0.2233378168,3.49,0.2367695741,243.6191293,-0.7062805356,-0.4756817947
0.216,0.11,0.11,0.1756738918,2.9,0.1959724686,242.5662798,-0.7294517526,-0.3292984322
0.217,-0.01,-0.01,-0.0160409642,-0.36,-0.02380552739,247.4302981,-0.6232332433,0.02479134934
0.218,-0.24,-0.24,-0.3882312192,-9.08,-0.5665011204,248.0415079,-0.6100338094,0.3299784897
0.219,-0.58,-0.58,-0.9498290888,-21,-1.209987506,240.5895908,-0.773227873,0.4789339064
0.22,-0.97,-0.97,-1.610767198,-34.77,-1.828542159,228.2945856,-1.053865879,0.5588269172
0.221,-1.35,-1.35,-2.271975345,-47.96,-2.314476686,217.6805647,-1.308569474,0.6270898146
0.222,-1.63,-1.63,-2.77005535,-57.65,-2.616127395,211.8291847,-1.454348796,0.6805236585
0.223,-1.77,-1.77,-3.022555262,-62.37,-2.748648968,208.0479718,-1.550710484,0.7030245541
0.224,-1.77,-1.77,-3.022555262,-62.35,-2.748105507,205.6555239,-1.612589288,0.6931361638
0.225,-1.65,-1.65,-2.805985545,-58.8,-2.649224652,203.6665382,-1.664583345,0.6504660261
0.226,-1.46,-1.46,-2.466549287,-52.77,-2.469494259,205.8505983,-1.607516956,0.6049895762
0.227,-1.27,-1.27,-2.131361422,-47,-2.282210621,218.2534782,-1.294507306,0.5958986606
0.228,-1.2,-1.2,-2.00894208,-44.73,-2.20407776,231.3846013,-0.98193818,0.6305499149
0.229,-1.24,-1.24,-2.078825379,-46.09,-2.25120188,231.7368501,-0.9737997903,0.6445966829
0.23,-1.3,-1.3,-2.18400338,-48.22,-2.323137449,228.9907247,-1.037576936,0.6498628355
0.231,-1.3,-1.3,-2.18400338,-48.32,-2.326459729,230.6480926,-0.9989946576,0.6567533714
0.232,-1.24,-1.24,-2.078825379,-46.15,-2.253259222,234.5627663,-0.9089537723,0.6573957488
0.233,-1.13,-1.13,-1.88709939,-42.57,-2.127263144,240.2590127,-0.7805840073,0.648967876
0.234,-0.99,-0.99,-1.645143964,-38.13,-1.961453412,243.8816306,-0.7005189767,0.6180169153
0.235,-0.85,-0.85,-1.405495145,-33.06,-1.758328118,246.8231696,-0.6363768603,0.5869178699
0.236,-0.71,-0.71,-1.168152932,-28.08,-1.543505053,247.0252209,-0.6319991025,0.5369573436
0.237,-0.6,-0.6,-0.98328792,-23.99,-1.355014463,245.6614075,-0.6616180122,0.4875890535
0.238,-0.52,-0.52,-0.8497350368,-20.82,-1.20105623,243.1946832,-0.7156097184,0.4433401854
0.239,-0.46,-0.46,-0.7500646472,-18.28,-1.072543774,243.8162476,-0.7019534675,0.4226913571
0.24,-0.42,-0.42,-0.6838530888,-16.32,-0.9701514024,249.6649913,-0.5751310409,0.4425424567
0.241,-0.38,-0.38,-0.6178298248,-14.58,-0.8768429335,257.5250198,-0.4092976518,0.480375032
0.242,-0.39,-0.39,-0.6343179882,-14.89,-0.8936347933,268.1587601,-0.1928242721,0.5838397491
0.243,-0.53,-0.53,-0.8663879578,-19.76,-1.14799135,275.7076837,-0.04429760505,0.7266593839
0.244,-0.79,-0.79,-1.303494612,-28.94,-1.581730906,266.6296438,-0.223418783,0.7220977962
0.245,-1.08,-1.08,-1.800421949,-38.64,-1.981057025,249.4064809,-0.5806734572,0.7028147422
0.246,-1.26,-1.26,-2.113837639,-44.66,-2.201626598,232.9290746,-0.9463460241,0.6714917481
0.247,-1.33,-1.33,-2.236751254,-47.03,-2.283225838,221.1119195,-1.224893827,0.6375926329
0.248,-1.42,-1.42,-2.395630369,-50.03,-2.382524325,216.2337101,-1.344247955,0.6428164076
0.249,-1.59,-1.59,-2.69833618,-55.7,-2.558759454,213.8981608,-1.402347864,0.6812075422
0.25,-1.78,-1.78,-3.040679233,-62.34,-2.74783372,209.9275185,-1.50259454,0.7153818502
0.251,-1.93,-1.93,-3.313951006,-67.38,-2.880276453,206.5438462,-1.589529906,0.7414081819
0.252,-2,-2,-3.442384,-69.52,-2.933912345,205.4301605,-1.618455192,0.7561744459
0.253,-1.99,-1.99,-3.424001124,-69.49,-2.933170532,199.9345068,-1.763527276,0.7290230848
0.254,-1.97,-1.97,-3.387270678,-68.73,-2.914283315,196.1541613,-1.865653212,0.708643443
0.255,-1.96,-1.96,-3.368923107,-68.44,-2.907027918,196.0659199,-1.868060491,0.7055205723
0.256,-1.98,-1.98,-3.405630017,-68.98,-2.920516401,198.3024027,-1.807379596,0.7203267624
0.257,-1.99,-1.99,-3.424001124,-69.32,-2.928961593,201.2719874,-1.727857129,0.7352661396
0.258,-1.97,-1.97,-3.387270678,-68.83,-2.916778938,203.4395857,-1.670548355,0.7383974288
0.259,-1.94,-1.94,-3.332263271,-67.92,-2.893950341,204.6386138,-1.639109191,0.7351024727
0.26,-1.92,-1.92,-3.295650509,-67.42,-2.881292622,205.6670612,-1.612289162,0.7334128246
0.261,-1.92,-1.92,-3.295650509,-67.31,-2.878496884,207.2816224,-1.570453715,0.7407703087
0.262,-1.9,-1.9,-3.25908482,-66.78,-2.864970168,209.8602427,-1.504309337,0.7459089802
0.263,-1.86,-1.86,-3.186094663,-65.44,-2.830347572,216.3605392,-1.3411109,0.7637843418
0.264,-1.8,-1.8,-3.07696248,-63.74,-2.785525826,222.3921308,-1.194007302,0.7731968503
0.265,-1.76,-1.76,-3.004443059,-62.52,-2.752720196,219.9888416,-1.252136945,0.7501998084
0.266,-1.76,-1.76,-3.004443059,-62.47,-2.751364047,209.7902671,-1.506093534,0.7056894878
0.267,-1.77,-1.77,-3.022555262,-62.93,-2.763805788,203.8529385,-1.659689142,0.6832957447
0.268,-1.74,-1.74,-2.968253959,-61.99,-2.738297715,194.848149,-1.901393112,0.639752533
0.269,-1.68,-1.68,-2.859969101,-60.24,-2.689922246,189.7911343,-2.042078626,0.6043889632
0.27,-1.68,-1.68,-2.859969101,-60.28,-2.691041107,192.9468072,-1.953855165,0.615722921
0.271,-1.75,-1.75,-2.986342625,-62.42,-2.750006971,194.5425786,-1.909789829,0.6408740023
0.272,-1.82,-1.82,-3.113292801,-65.01,-2.819106472,190.0959263,-2.033493773,0.6415720736
0.273,-1.86,-1.86,-3.186094663,-66.44,-2.856243126,189.6455232,-2.046184814,0.6499013759
0.274,-1.88,-1.88,-3.222566205,-66.84,-2.866506201,192.3038172,-1.97171367,0.6660644391
0.275,-1.89,-1.89,-3.240819628,-67.15,-2.874423202,194.8823232,-1.900454864,0.6787230131
0.276,-1.84,-1.84,-3.149670195,-65.83,-2.840487587,196.2522821,-1.862977688,0.6696488677
0.277,-1.71,-1.71,-2.914058572,-61.82,-2.733649404,196.0051497,-1.869718967,0.6330274567
0.278,-1.53,-1.53,-2.591110478,-56.25,-2.575101615,197.8658897,-1.819169259,0.5896565214
0.279,-1.34,-1.34,-2.254357415,-50.55,-2.39929726,202.1464243,-1.704664112,0.5493125327
0.28,-1.2,-1.2,-2.00894208,-45.88,-2.243986856,207.1143973,-1.574771585,0.5260720496
0.281,-1.08,-1.08,-1.800421949,-41.97,-2.105487265,213.0534889,-1.42351654,0.510178523
0.282,-0.94,-0.94,-1.559290311,-37.35,-1.931184161,219.4909337,-1.264259498,0.487973026
0.283,-0.79,-0.79,-1.303494612,-32.09,-1.717706526,225.719734,-1.114549446,0.4602319229
0.284,-0.67,-0.67,-1.100764534,-27.9,-1.535443382,229.2422747,-1.031703101,0.4287891404
0.285,-0.66,-0.66,-1.083946855,-27.39,-1.512486738,229.9160148,-1.016002581,0.4286934681
0.286,-0.73,-0.73,-1.201917742,-30.11,-1.632970217,228.143836,-1.057399808,0.4467481167
0.287,-0.78,-0.78,-1.286535713,-31.72,-1.702058465,228.6095847,-1.04648908,0.4680783911
