# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
2.188,0.2,0.4,0.63198848,-17.13,-1.012811942,331.681,0.9445561422,-9.259117622
2.189,0.15,0.3,0.47575662,-19.35,-1.127249575,327.47,0.8761980376,-1.895055594
2.19,0.03,0.06,0.0959986488,-24.58,-1.382900269,323.281,0.807319282,-0.1667856494
2.191,-0.1,-0.2,-0.32305528,-29.82,-1.620351533,319.4,0.7427037032,0.3680921537
2.192,-0.14,-0.28,-0.4535954528,-31.28,-1.683338948,318.523,0.7279936114,0.4747973694
2.193,-0.08,-0.16,-0.2580676352,-29.44,-1.603735414,303.887,0.4763362233,0.2289052868
2.194,-0.04,-0.08,-0.1286572288,-27.84,-1.532751452,300.841,0.4224401317,0.1158749141
2.195,-0.06,-0.12,-0.1932682848,-28.52,-1.563122439,300.225,0.4114742772,0.1678188628
2.196,-0.11,-0.22,-0.3556197128,-30.63,-1.655463018,299.707,0.4022355612,0.2837631037
2.197,-0.16,-0.32,-0.5191479808,-32.87,-1.75041688,300.118,0.4095672008,0.3871783608
2.198,-0.2,-0.4,-0.65081792,-34.38,-1.812683774,300.554,0.4173338368,0.4664191418
2.199,-0.21,-0.42,-0.6838530888,-34.75,-1.827731124,301.857,0.4404777066,0.4929546975
2.2,-0.17,-0.34,-0.5519948552,-33.62,-1.781517189,303.362,0.4670854853,0.4199494381
2.201,-0.09,-0.18,-0.2905379208,-30.5,-1.649855876,305.16,0.4987008681,0.2523881829
2.202,0.05,0.1,0.15976238,-25.5,-1.425910617,307.877,0.546123928,-0.1815921768
2.203,0.19,0.38,0.6008362552,-20,-1.160076618,310.82,0.5970217625,-1.067100744
2.204,0.27,0.54,0.8487359928,-16.51,-0.9802021512,313.995,0.6513943246,-2.581252404
2.205,0.28,0.56,0.8795116288,-16.14,-0.9606046993,317.808,0.7159707754,-3.595215311
2.206,0.28,0.56,0.8795116288,-16.11,-0.9590112194,323.004,0.8027332245,-5.627866094
2.207,0.35,0.7,1.09362302,-12.61,-0.7684090348,328.691,0.8961088752,8.564012429
2.208,0.52,1.04,1.604004813,-4.19,-0.2700863258,339.363,1.067053312,2.012636458
2.209,0.69,1.38,2.100782335,2.48,0.16712284,339.817,1.074205762,1.692366012
2.21,0.77,1.54,2.329852633,4.47,0.3052362103,339.663,1.071780672,1.691956477
2.211,0.74,1.48,2.244304323,3.57,0.242325773,338.895,1.05967028,1.723741265
2.212,0.66,1.32,2.014104259,1.46,0.09772149724,337.784,1.042102555,1.767030846
2.213,0.6,1.2,1.83947712,0.1,0.00663293416,337.141,1.031908678,1.771211763
2.214,0.6,1.2,1.83947712,0.06,0.003978700632,335.751,1.009805546,1.814466073
2.215,0.62,1.24,1.897874461,0.5,0.03325311302,333.959,0.9811745773,1.870881955
2.216,0.62,1.24,1.897874461,0.56,0.03725836599,331.124,0.9355642043,1.950894766
2.217,0.6,1.2,1.83947712,-0.09,-0.005962092718,320.831,0.7666196421,2.418272351
2.218,0.56,1.12,1.722117555,-2.27,-0.1482089132,321.752,0.7819557259,2.717358921
2.219,0.51,1.02,1.574358943,-4.8,-0.3081503368,323.051,0.8035116412,3.178203322
2.22,0.46,0.92,1.425423491,-7.15,-0.4518734412,325.063,0.8367287436,3.703790703
2.221,0.43,0.86,1.335497337,-8.84,-0.5524120377,326.43,0.8591801306,4.353442772
2.222,0.42,0.84,1.305427805,-9.36,-0.5828795432,328.191,0.8879643362,4.278901587
2.223,0.43,0.86,1.335497337,-9.01,-0.5623966193,330.558,0.9264114671,3.668799075
2.224,0.43,0.86,1.335497337,-8.85,-0.5530000139,334.734,0.9935756399,3.031255608
