# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
3.55,1.205,2.41,3.49,4,0.2722904524,434.764,2.392424992,1.309708325
3.551,1.225,2.45,3.55,2,0.1343468725,433.021,2.370933349,1.417007155
3.552,1.215,2.43,3.53,1,0.06672794636,431.131,2.347531179,1.46214628
3.553,1.23,2.46,3.58,-1,-0.0658451636,429.776,2.330690205,1.580682093
3.554,1.225,2.45,3.56,-4,-0.2581659283,428.423,2.313821027,1.731808027
3.555,1.205,2.41,3.51,-5,-0.3205619313,428.05,2.309161102,1.765061583
3.556,1.24,2.48,3.6,-5,-0.3205619313,426.95,2.295395012,1.822938878
3.557,1.225,2.45,3.57,-2,-0.1308157415,425.414,2.276113088,1.664104981
3.558,1.28,2.56,3.72,-3,-0.1949199307,424.285,2.261895928,1.799730624
3.559,1.16,2.32,3.39,2,0.1343468725,421.391,2.225279161,1.436668333
3.56,1.17,2.34,3.43,3,0.2028649755,420.929,2.219410369,1.416023991
3.561,1.15,2.3,3.38,4,0.2722904524,421.291,2.224009405,1.354004003
3.562,1.185,2.37,3.46,4,0.2722904524,421.675,2.228883624,1.383350337
3.563,1.15,2.3,3.37,6,0.4138963161,422.346,2.237390167,1.271081047
3.564,1.16,2.32,3.4,7,0.4860930969,423.67,2.254135491,1.240772399
3.565,1.175,2.35,3.44,7,0.4860930969,424.622,2.266143625,1.249892486
3.566,1.145,2.29,3.36,10,0.7083572001,425.162,2.272943001,1.127025047
3.567,1.18,2.36,3.44,12,0.8613433732,426.47,2.289376873,1.091813849
3.568,1.205,2.41,3.52,13,0.9393040821,427.675,2.304472095,1.085155019
3.569,1.18,2.36,3.45,15,1.09820173,428.664,2.316829706,1.010239602
3.57,1.19,2.38,3.49,17,1.261122332,429.779,2.33072755,0.9716441707
3.571,1.23,2.46,3.58,17,1.261122332,430.677,2.341894424,0.9936118099
3.572,1.235,2.47,3.6,18,1.344111733,431.642,2.353868536,0.973504383
3.573,1.215,2.43,3.54,19,1.428131464,432.534,2.364913049,0.9332872282
3.574,1.215,2.43,3.54,20,1.513189721,433.478,2.376576634,0.9100803691
