# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
2.146,-0.6,-1.2,-2.00894208,-44.47,-2.194960674,228.082,-1.058850066,0.6174120871
2.147,-0.64,-1.28,-2.148896973,-46.18,-2.254287212,222.114,-1.200702373,0.6219691608
2.148,-0.65,-1.3,-2.18400338,-46.28,-2.257710568,215.775,-1.355609298,0.6044312325
2.149,-0.63,-1.26,-2.113837639,-45.74,-2.239164431,209.795,-1.505972839,0.564421939
2.15,-0.66,-1.32,-2.219156861,-46.79,-2.27509155,207.604,-1.562139517,0.578322447
2.151,-0.77,-1.54,-2.608952007,-50.87,-2.409556037,207.443,-1.566290131,0.6562004405
2.152,-0.93,-1.86,-3.186094663,-56.81,-2.591609851,205.699,-1.611458405,0.7580401909
2.153,-1.07,-2.14,-3.700979943,-61.9,-2.735838196,209.36,-1.517077327,0.8702218334
2.154,-1.12,-2.24,-3.887103539,-63.67,-2.783658179,209.231,-1.520374818,0.9031305154
2.155,-1.08,-2.16,-3.738110515,-62.49,-2.751906617,209.073,-1.524416376,0.874141294
2.156,-1.03,-2.06,-3.552928391,-60.92,-2.708858671,208.478,-1.539663626,0.836273919
2.157,-1.02,-2.04,-3.516033187,-60.69,-2.702473674,211.207,-1.470085939,0.8426561903
2.158,-1.03,-2.06,-3.552928391,-61.05,-2.712458604,217.163,-1.321304962,0.8807973827
2.159,-0.99,-1.98,-3.405630017,-59.78,-2.677010475,218.924,-1.278096147,0.8610716076
2.16,-0.89,-1.78,-3.040679233,-56.57,-2.584550994,220.87,-1.23075049,0.7969695831
2.161,-0.78,-1.56,-2.644670371,-53.35,-2.487464795,222.56,-1.189970463,0.7191616402
2.162,-0.72,-1.44,-2.431066291,-51.44,-2.427711506,225.317,-1.124103556,0.6844574531
2.163,-0.66,-1.32,-2.219156861,-49.58,-2.367906163,227.6,-1.070168051,0.6454650838
2.164,-0.57,-1.14,-1.904470183,-46.55,-2.266928506,230.951,-0.9919731758,0.5843901931
2.165,-0.47,-0.94,-1.559290311,-43.33,-2.154570265,232.857,-0.9480017161,0.5025798985
2.166,-0.41,-0.82,-1.354441921,-41.19,-2.076888401,234.51,-0.9101574229,0.4534386148
2.167,-0.35,-0.7,-1.15128818,-39.49,-2.013403076,236.139,-0.8731226696,0.3988490946
2.168,-0.28,-0.56,-0.9164173312,-37.01,-1.917880312,237.615,-0.8397862733,0.3323162184
