age_kyr,gmsl_m
-5240.0999999997803,8.6609999999999996
-5239.9999999997799,8.6609999999999996
-5239.8999999997804,8.6609999999999996
-5239.7999999997801,8.6630000000000003
-5239.6999999997797,8.6660000000000004
-5239.5999999997803,8.6690000000000005
-5239.4999999997799,8.67
-5239.3999999997804,8.6739999999999995
-5239.2999999997801,8.68
-5239.1999999997797,8.6850000000000005
-5239.0999999997803,8.6869999999999994
-5238.9999999997799,8.6890000000000001
-5238.8999999997804,8.6920000000000002
-5238.7999999997801,8.6969999999999992
-5238.6999999997797,8.6959999999999997
-5238.5999999997803,8.702
-5238.4999999997799,8.7050000000000001
-5238.3999999997804,8.7050000000000001
-5238.2999999997801,8.7070000000000007
-5238.1999999997797,8.7089999999999996
-5238.0999999997703,8.7159999999999993
-5237.9999999997699,8.7260000000000009
-5237.8999999997704,8.7319999999999993
-5237.7999999997701,8.7349999999999994
-5237.6999999997697,8.7409999999999997
-5237.5999999997703,8.7409999999999997
-5237.4999999997699,8.7539999999999996
-5237.3999999997704,8.77
-5237.2999999997701,8.7810000000000006
-5237.1999999997697,8.7880000000000003
-5237.0999999997703,8.7949999999999999
-5236.9999999997699,8.8119999999999994
-5236.8999999997704,8.8260000000000005
-5236.7999999997701,8.85
-5236.6999999997697,8.8640000000000008
-5236.5999999997703,8.8689999999999998
-5236.4999999997699,8.891
-5236.3999999997704,8.9079999999999995
-5236.2999999997701,8.9269999999999996
-5236.1999999997697,8.9450000000000003
-5236.0999999997703,8.9459999999999997
-5235.9999999997699,8.9649999999999999
-5235.8999999997704,8.9700000000000006
-5235.7999999997701,8.9849999999999994
-5235.6999999997697,8.9969999999999999
-5235.5999999997703,8.9990000000000006
-5235.4999999997699,9.0169999999999995
-5235.3999999997604,9.0169999999999995
-5235.2999999997601,9.0210000000000008
-5235.1999999997597,9.0180000000000007
-5235.0999999997603,9.0310000000000006
-5234.9999999997599,9.0389999999999997
-5234.8999999997604,9.0449999999999999
-5234.7999999997601,9.0489999999999995
-5234.6999999997597,9.0519999999999996
-5234.5999999997603,9.048
-5234.4999999997599,9.0690000000000008
-5234.3999999997604,9.0690000000000008
-5234.2999999997601,9.08
-5234.1999999997597,9.0850000000000009
-5234.0999999997603,9.09
-5233.9999999997599,9.0850000000000009
-5233.8999999997604,9.0980000000000008
-5233.7999999997601,9.0939999999999994
-5233.6999999997597,9.0969999999999995
-5233.5999999997603,9.1039999999999992
-5233.4999999997599,9.1150000000000002
-5233.3999999997604,9.1189999999999998
-5233.2999999997601,9.1180000000000003
-5233.1999999997597,9.1210000000000004
-5233.0999999997603,9.1270000000000007
-5232.9999999997599,9.1289999999999996
-5232.8999999997604,9.1300000000000008
-5232.7999999997601,9.1319999999999997
-5232.6999999997597,9.1349999999999998
-5232.5999999997503,9.1270000000000007
-5232.4999999997499,9.1150000000000002
-5232.3999999997504,9.1050000000000004
-5232.2999999997501,9.0969999999999995
-5232.1999999997497,9.0939999999999994
-5232.0999999997503,9.0820000000000007
-5231.9999999997499,9.0730000000000004
-5231.8999999997504,9.0690000000000008
-5231.7999999997501,9.0660000000000007
-5231.6999999997497,9.0579999999999998
-5231.5999999997503,9.0449999999999999
-5231.4999999997499,9.032
-5231.3999999997504,9.0210000000000008
-5231.2999999997501,9.0289999999999999
-5231.1999999997497,9.0259999999999998
-5231.0999999997503,9.0150000000000006
-5230.9999999997499,9.0039999999999996
